,rank,Youtuber,subscribers,video views,Title,uploads,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings
856,857,H2ODelirious,13400000,4356686216.0,H2ODelirious,3727,4200.0,67100.0,50400.0,805700.0
857,858,GMA Integrated News,13400000,9569814790.0,GMA Integrated News,296272,28900.0,461800.0,346400.0,5500000.0
858,859,Peet Montzingo,13400000,10022557589.0,Peet Montzingo,319,99400.0,1600000.0,1200000.0,19100000.0
859,860,The Q,13400000,4306212515.0,Tom Duggan,96,0.0,0.01,0.01,0.14
860,861,Trakin Tech,13300000,2262690743.0,Trakin Tech,3640,10900.0,174700.0,131000.0,2100000.0
861,862,theRadBrad,13300000,6050102764.0,theRadBrad,8195,3900.0,62800.0,47100.0,753300.0
862,863,Matt Steffanina,13300000,3299216601.0,Matt Steffanina,331,482.0,7700.0,5800.0,92600.0
863,864,Stray Kids,13300000,3364230487.0,straykids,3,0.0,0.01,0.01,0.1
864,865,Kurt Hugo Schneider,13300000,3733856870.0,Kurt Hugo Schneider,698,1100.0,16900.0,12700.0,203200.0
865,866,Vogue,13300000,4177184071.0,Vogue,3166,11300.0,180400.0,135300.0,2200000.0
866,867,ýýýýýýýýýýýýýýýýýý,13300000,6482687220.0,ýýýýýýýýýýýýýýýýýý,608,22600.0,361000.0,270700.0,4300000.0
867,868,Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13300000,9088562002.0,Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,2742,40500.0,647600.0,485700.0,7800000.0
868,869,VexTrex,13300000,7923901253.0,VexTrex,2411,0.0,0.0,0.0,0.0
869,870,penguinz0,13300000,7773543609.0,penguinz0,4613,47200.0,755800.0,566800.0,9100000.0
870,871,Just For Laughs Gags,13300000,7406628736.0,Just For Laughs Gags,6916,4400.0,69900.0,52400.0,838500.0
871,872,Kabita's Kitchen,13300000,2831275503.0,Kabita's Kitchen,1489,10800.0,172500.0,129400.0,2100000.0
872,873,BanderitaX,13300000,4129249415.0,BanderitaX,1640,17700.0,282800.0,212100.0,3400000.0
873,874,AzzyLand,13300000,6412313570.0,AzzyLand,1749,1300.0,21500.0,16200.0,258600.0
874,875,HUBAï¿½ï¿½,13200000,9884886099.0,HUBAï¿½ï¿½,538,79900.0,1300000.0,958900.0,15300000.0
875,876,BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,13200000,1148422000.0,BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,192,2200.0,35100.0,26300.0,420900.0
876,877,Brawl Stars,13200000,2036408398.0,Brawl Stars,172,5100.0,81500.0,61100.0,977700.0
877,878,Ei Nerd,13200000,3568392223.0,Einerd,0,0.0,0.0,0.0,0.0
878,879,Sonotek Bhakti,13200000,3789736218.0,Sonotek Bhakti,8019,6300.0,101300.0,76000.0,1200000.0
879,880,Vilmei,13200000,4205664894.0,Vilmei,1324,66100.0,1100000.0,792900.0,12700000.0
880,881,MC Divertida,13200000,5224764969.0,MC Divertida,413,16100.0,258100.0,193600.0,3100000.0
881,882,The Infographics Show,13200000,5263540904.0,The Infographics Show,4279,13000.0,207300.0,155500.0,2500000.0
882,883,jbalvinVEVO,13200000,20743586601.0,jbalvinVEVO,237,21600.0,345100.0,258800.0,4100000.0
883,884,ýýýýýýTwinsFromRussia,13200000,9378175604.0,ýýýýýýTwinsFromRussia,6888,29800.0,477600.0,358200.0,5700000.0
884,885,Technology Gyan,13200000,1138262456.0,Technology Gyan,1022,4600.0,74100.0,55600.0,888900.0
885,886,CookingShooking Hindi,13200000,1758603195.0,CookingShooking Hindi,393,2900.0,46000.0,34500.0,551500.0
886,887,Ryan Trahan,13100000,2182651464.0,Ryan Trahan,33,0.06,0.99,0.74,12.0
887,888,Alex Gonzaga Official,13100000,1401914513.0,Alex Gonzaga Official,287,2700.0,43400.0,32500.0,520700.0
888,889,WiederDude,13100000,2733682792.0,WiederDude,289,14200.0,227600.0,170700.0,2700000.0
889,890,Ian Boggs,13100000,9110348202.0,Ian Boggs,1327,82300.0,1300000.0,987900.0,15800000.0
